algo1_total_time,algo2_total_time,algo1_move_count,algo2_move_count,algo1,algo2,variant
0.7038886547088623,4.14529013633728,200,200,Negamax_3,Negamax_5,Deterministic
0.8284454345703125,5.673602819442749,189,196,Negamax_3,Negamax_5,Probabilistic
0.6579611301422119,0.10921812057495117,175,175,Negamax_3,Negamax_AB_3,Deterministic
0.8171918392181396,0.13441896438598633,221,222,Negamax_3,Negamax_AB_3,Probabilistic
0.11093592643737793,0.5614926815032959,200,200,Negamax_AB_3,Negamax_AB_5,Deterministic
0.12627482414245605,0.7650642395019531,214,215,Negamax_AB_3,Negamax_AB_5,Probabilistic
0.10467815399169922,0.10707402229309082,175,175,Negamax_AB_3,ExpectiMinimax_AB_3,Deterministic
0.13353753089904785,0.9976425170898438,198,209,Negamax_AB_3,ExpectiMinimax_AB_3,Probabilistic
0.5284311771392822,0.5341424942016602,175,175,Negamax_AB_5,ExpectiMinimax_AB_5,Deterministic
0.7352640628814697,50.83831834793091,193,194,Negamax_AB_5,ExpectiMinimax_AB_5,Probabilistic
